Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
Voyager Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1877,2023,no,461990,Colorado Springs,246.13
4169 Ascendant Dr,6,4,3387,2001,yes,599900,Colorado Springs,177.12
1870 Final View Aly,3,3,1602,2019,yes,379000,Colorado Springs,236.58
10536 Kalama Dr,4,4,1979,2020,yes,444900,Colorado Springs,224.81
9475 Sand Myrtle Dr,3,3,2266,2011,yes,440000,Colorado Springs,194.17
Willow by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,4,2,2255,2023,no,394662,Colorado Springs,175.02
1932 Ruffino Dr,5,4,4778,2020,yes,1125000,Colorado Springs,235.45
Urban - Paradise Plan in Timber Ridge by Classic Homes,3,3,3748,2023,yes,653100,Colorado Springs,174.25
9306 Timberlake Loop,3,3,2008,2018,yes,419000,Colorado Springs,208.67
Rendezvous Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,3,3,2090,2023,no,532990,Colorado Springs,255.02
Santorini Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1246,2023,no,399990,Colorado Springs,321.02
Kythira Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1527,2023,no,425990,Colorado Springs,278.97
Mykonos Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1366,2023,no,409990,Colorado Springs,300.14
Paros Plan in The Retreat in Banning Lewis Ranch by OakwoodLife,2,2,1704,2023,no,442990,Colorado Springs,259.97
11730 Bison Meadows Ct,4,4,4038,2017,yes,1100000,Colorado Springs,272.41
Bedford Plan in The Trails at Aspen Ridge by Richmond American Homes,3,3,2319,2023,no,496950,Colorado Springs,214.29
6049 Bennach Grv,2,2,1844,2023,yes,594033,Colorado Springs,322.14
Irvington Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1684,2023,no,316000,Colorado Springs,187.65
6520 Pawnee Cir,3,3,2336,1978,yes,459900,Colorado Springs,196.88
11043 Tranquil Water Dr,5,4,3234,2020,yes,684000,Colorado Springs,211.5
5730 Kittery Dr,5,3,2540,1994,yes,420000,Colorado Springs,165.35
4090 Foxchase Way,5,5,5714,2018,yes,2400000,Colorado Springs,420.02
Branson Plan in Sterling Ranch by Vantage Homes,6,4,3900,2023,yes,597400,Colorado Springs,153.18
Biloxi Plan in Sterling Ranch by Vantage Homes,5,5,3789,2023,yes,635200,Colorado Springs,167.64
Native Plan in Sterling Ranch by Vantage Homes,4,4,4151,2023,yes,625600,Colorado Springs,150.71
Oakridge Plan in Sterling Ranch by Vantage Homes,6,4,4360,2023,yes,643800,Colorado Springs,147.66
Daytona Plan in Sterling Ranch by Vantage Homes,4,3,3005,2023,yes,548500,Colorado Springs,182.53
Princeton Plan in Sterling Ranch by Vantage Homes,4,3,2748,2023,yes,524300,Colorado Springs,190.79
Seabrook Plan in Sterling Ranch by Vantage Homes,5,4,3245,2023,yes,567700,Colorado Springs,174.95
Briarwood Plan in Sterling Ranch by Vantage Homes,7,7,5581,2023,yes,749200,Colorado Springs,134.24
Appaloosa II Plan in Sterling Ranch by Vantage Homes,5,3,3319,2023,yes,550400,Colorado Springs,165.83
Mustang Plan in Sterling Ranch by Vantage Homes,6,5,4183,2023,yes,638900,Colorado Springs,152.74
Tahoe Plan in Sterling Ranch by Vantage Homes,6,5,4286,2023,yes,649900,Colorado Springs,151.63
Sanibel II Plan in Sterling Ranch by Vantage Homes,4,3,3113,2023,yes,559500,Colorado Springs,179.73
3738 Red Canon Pl,2,2,1545,1983,yes,360000,Colorado Springs,233.01
941 Tampico Ct,2,1,960,1986,yes,285000,Colorado Springs,296.88
1209 Suncrest Way,3,2,2986,1979,yes,550000,Colorado Springs,184.19
14215 Gleneagle Dr,4,4,3059,1984,yes,665000,Colorado Springs,217.39
5929 Eagle Glen Vw #105,3,4,1963,2006,yes,430000,Colorado Springs,219.05
421 S  Cedar St,3,2,1144,1904,no,384900,Colorado Springs,336.45
1972 Montebello Dr W,4,4,3318,2001,yes,712000,Colorado Springs,214.59
5637 Cubbage Dr,4,3,4428,2018,yes,749500,Colorado Springs,169.26
Massey Plan in Sterling Ranch by Vantage Homes,5,4,3890,2023,yes,597600,Colorado Springs,153.62
Copperwood Plan in Sterling Ranch by Vantage Homes,6,5,4642,2023,yes,657600,Colorado Springs,141.66
Fairhope Plan in Sterling Ranch by Vantage Homes,6,5,4284,2023,yes,641100,Colorado Springs,149.65
Berkeley Plan in Sterling Ranch by Vantage Homes,5,4,3625,2023,yes,585000,Colorado Springs,161.38
Carlton II Plan in Sterling Ranch by Vantage Homes,6,5,3766,2023,yes,628900,Colorado Springs,166.99
Willowwood II Plan in Sterling Ranch by Vantage Homes,5,4,4081,2023,yes,657400,Colorado Springs,161.09
145 Cornell St,3,2,1794,1960,yes,395000,Colorado Springs,220.18
6391 Gossamer St,3,2,1172,2000,yes,380000,Colorado Springs,324.23
5581 Silverstone Ter,4,3,3278,2020,yes,625000,Colorado Springs,190.67
5745 Thurless Ln,3,2,1643,2023,yes,459277,Colorado Springs,279.54
7554 Potomac Dr,4,4,3314,1998,yes,600000,Colorado Springs,181.05
49 McBurney Blvd,5,3,2371,1965,yes,427000,Colorado Springs,180.09
1225 Montezuma Rd,4,3,3208,1975,yes,895000,Colorado Springs,278.99
134 Mayflower St,4,4,2975,2017,yes,695000,Colorado Springs,233.61
1612 N  Royer St,4,3,3535,1900,yes,859900,Colorado Springs,243.25
324 W  Ramona Ave,3,1,1130,1952,yes,420000,Colorado Springs,371.68
5466 Leon Young Drive,5,4,4548,2016,yes,875000,Colorado Springs,192.39
Oakwood Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,1,2,1239,2023,no,218000,Colorado Springs,175.95
4430 S  Fortune Cir,3,2,1990,1970,yes,415000,Colorado Springs,208.54
1822 E Pikes Peak Avenue,5,2,2240,1951,yes,525000,Colorado Springs,234.38
1809 Couch Pl,4,2,1826,1963,yes,394900,Colorado Springs,216.27
9433 Bugaboo Dr,5,4,4111,2023,yes,759602,Colorado Springs,184.77
3339 Skywatch Hts,3,3,4155,2023,yes,999000,Colorado Springs,240.43
9441 Bugaboo Dr,4,3,3638,2023,yes,742164,Colorado Springs,204.0
9425 Bugaboo Dr,4,3,3807,2023,yes,734814,Colorado Springs,193.02
9417 Bugaboo Dr,4,3,3655,2023,yes,789000,Colorado Springs,215.87
7028 Preble Dr,3,3,1910,2018,yes,505000,Colorado Springs,264.4
6483 Glencullen Vw,3,3,1661,2020,yes,397500,Colorado Springs,239.31
2368 Lone Willow Vw,4,4,2768,2016,yes,650000,Colorado Springs,234.83
1121 Antrim Loop,3,3,3366,2016,yes,500000,Colorado Springs,148.54
7455 Forest Meadows Ave,3,3,2068,2020,yes,420000,Colorado Springs,203.09
6370 Lochside Vw,5,4,4044,2020,yes,830000,Colorado Springs,205.24
Hemingway Plan in Hansen Ranch by Richmond American Homes,4,3,2548,2023,no,560950,Colorado Springs,220.15
340 Lariat Ln,3,5,4369,1992,yes,1645000,Colorado Springs,376.52
Oleander by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1780,2023,no,358860,Colorado Springs,201.61
6405 Kilkenny Ct,5,4,3449,2012,yes,560000,Colorado Springs,162.37
5316 Arroyo St,5,4,2937,2002,yes,514800,Colorado Springs,175.28
Seabrook Plan in TimberRidge by Vantage Homes,5,4,3245,2023,yes,624500,Colorado Springs,192.45
80 Langley Pl,5,4,3912,1993,yes,815000,Colorado Springs,208.33
1524 Saratoga Dr,5,2,2120,1964,yes,430000,Colorado Springs,202.83
520 Obyrne Ct,3,2,1486,1980,yes,399900,Colorado Springs,269.11
10139 Moon Walk Dr,4,3,3520,2018,yes,695000,Colorado Springs,197.44
1012 Mercury Dr,3,2,1508,1954,yes,517500,Colorado Springs,343.17
3107 Broadmoor Valley Rd #D,2,2,1628,1979,yes,399500,Colorado Springs,245.39
4154 Hampshire Pl,5,3,3898,1979,yes,710000,Colorado Springs,182.14
2587 Integrity Ct,5,4,3666,2006,yes,637900,Colorado Springs,174.0
6071 Old Glory Dr,3,3,1956,2023,yes,404554,Colorado Springs,206.83
6061 Old Glory Dr,3,3,1671,2023,yes,378802,Colorado Springs,226.69
2393 Stepping Stones Way,2,2,995,1983,yes,290000,Colorado Springs,291.46
434 Valley Hi Cir #A4,2,2,1072,1965,yes,185000,Colorado Springs,172.57
2515 N  Chelton Rd,5,4,4454,1953,yes,1075000,Colorado Springs,241.36
7426 Gorgeted Quail Grv,2,2,1108,2023,yes,378432,Colorado Springs,341.55
7013 Oak Hills Ct,5,4,5889,1977,yes,860000,Colorado Springs,146.03
2418 Parma Ct,5,4,5016,2023,yes,1076083,Colorado Springs,214.53
1940 Ruffino Dr,4,3,4158,2021,yes,925000,Colorado Springs,222.46
5237 Sand Hill Dr,5,3,3708,2002,yes,619000,Colorado Springs,166.94
2132 Denton Grv #103,1,1,874,1996,yes,289000,Colorado Springs,330.66
4585 Jet Wing Cir W,3,3,2082,1997,yes,429000,Colorado Springs,206.05
6687 Rubicon Dr,3,3,2140,2021,yes,410000,Colorado Springs,191.59
2240 Hoodoo Dr,5,4,4259,1998,yes,875000,Colorado Springs,205.45
3600 N Cascade  Lot 65,2,1,720,1968,yes,59900,Colorado Springs,83.19
5304 Cambria Dr,5,3,3092,1976,yes,729000,Colorado Springs,235.77
8255 Loganwood Ct,5,4,5316,1993,yes,1100000,Colorado Springs,206.92
6592 Justice Way,5,4,3388,2014,yes,575000,Colorado Springs,169.72
10146 Intrepid Way,3,3,2726,2015,yes,445000,Colorado Springs,163.24
Sundance Plan in Wolf Ranch by Classic Homes,6,5,4004,2023,no,643800,Colorado Springs,160.79
6460 Whirlwind Dr,4,4,2860,1998,yes,539999,Colorado Springs,188.81
2475 Edenderry Dr,5,4,3932,1992,yes,825000,Colorado Springs,209.82
439 Mountain Pass Vw,5,3,3156,2018,yes,899900,Colorado Springs,285.14
1178 Gold Hill Mesa Dr,3,3,2687,2016,yes,620000,Colorado Springs,230.74
Kingston Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,2,1470,2023,no,263000,Colorado Springs,178.91
9232 Rock Pond Way,4,3,3304,2010,yes,670000,Colorado Springs,202.78
6049 Haster Grv,2,2,1567,2022,yes,526906,Colorado Springs,336.25
4919 Rocking R Dr,5,4,2772,1967,yes,745000,Colorado Springs,268.76
2756 Rigel Dr,4,3,3418,1971,yes,850000,Colorado Springs,248.68
849 Shrine Vw,3,3,3370,1994,yes,600000,Colorado Springs,178.04
6284 Mount Ouray Dr,4,3,3248,2011,yes,585000,Colorado Springs,180.11
7535 Bigtooth Maple Dr,4,3,3345,2017,yes,540000,Colorado Springs,161.43
11778 Black Creek Dr,4,5,4021,2023,yes,1050000,Colorado Springs,261.13
15095 E  Coachman Dr,3,3,2521,1985,yes,990000,Colorado Springs,392.7
6045 Williams St,4,3,3624,2023,yes,771900,Colorado Springs,213.0
4861 Horse Gulch Loop,5,4,3688,2021,yes,880000,Colorado Springs,238.61
3730 Penny Poin #F,2,2,1137,1998,yes,317500,Colorado Springs,279.24
Rosewood Plan in Wolf Ranch by Classic Homes,5,4,3188,2023,no,577400,Colorado Springs,181.12
Harlan by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,3,2339,2023,no,439287,Colorado Springs,187.81
5950 Eagle Glen Vw   #101,3,3,2175,2023,yes,540000,Colorado Springs,248.28
5940 Eagle Glen Vw   #102,3,3,2175,2023,yes,540000,Colorado Springs,248.28
5940 Eagle Glen Vw   #101,3,3,2175,2023,yes,540000,Colorado Springs,248.28
5930 Eagle Glen Vw   #102,3,3,2175,2023,yes,540000,Colorado Springs,248.28
5950 Eagle Glen Vw   #102,3,3,2175,2023,yes,540000,Colorado Springs,248.28
5930 Eagle Glen Vw   #101,3,3,2175,2023,yes,540000,Colorado Springs,248.28
405 Roxbury Cir,5,5,4397,1981,yes,1125000,Colorado Springs,255.86
1962 Queens Canyon Ct,4,3,3728,2000,yes,735000,Colorado Springs,197.16
9736 Wando Dr,7,4,3373,2018,yes,549900,Colorado Springs,163.03
9218 Galley Pl,4,4,3533,2023,yes,825326,Colorado Springs,233.6
3251 Virgo Dr,4,4,5276,2023,yes,897495,Colorado Springs,170.11
3052 Virgo Dr,4,4,3206,2023,yes,859275,Colorado Springs,268.02
3228 Virgo Dr,3,4,4982,2023,yes,965000,Colorado Springs,193.7
3260 Virgo Dr,3,4,4465,2023,yes,985000,Colorado Springs,220.6
3259 Virgo Dr,2,2,3857,2023,yes,821935,Colorado Springs,213.1
9296 Glitter Way,4,3,3591,2023,yes,764035,Colorado Springs,212.76
9913 Castor Dr,3,3,1482,2020,yes,420000,Colorado Springs,283.4
4445 Peak Crst View,4,4,2841,2022,yes,740000,Colorado Springs,260.47
4504 Peak Crst View,3,4,2445,2022,yes,600000,Colorado Springs,245.4
3520 Twisted Oak Cir,4,4,3977,2014,yes,1195000,Colorado Springs,300.48
4465 Peak Crst View,4,4,2841,2022,yes,715000,Colorado Springs,251.67
Sanibel II Plan in TimberRidge by Vantage Homes,4,3,3113,2023,yes,624700,Colorado Springs,200.67
Parade Plan in Wolf Ranch by Classic Homes,4,3,2978,2023,no,580400,Colorado Springs,194.9
16571 Early Light Dr,4,4,4087,2023,yes,1252000,Colorado Springs,306.34
7107 Passing Sky Dr,5,3,3049,2021,yes,565000,Colorado Springs,185.31
330 Lost Pines Dr,4,4,3625,2023,yes,919900,Colorado Springs,253.77
58 Lost Pines Dr,5,3,3293,2023,yes,874900,Colorado Springs,265.68
14185 Albatross Dr,5,3,2570,2003,yes,530000,Colorado Springs,206.23
10155 Hannaway Dr,4,4,3664,2020,yes,674500,Colorado Springs,184.09
9313 Bugaboo Dr,6,3,3221,2023,yes,623900,Colorado Springs,193.7
6653 Galpin Dr,3,2,2348,2018,yes,445000,Colorado Springs,189.52
9289 Bugaboo Dr,3,2,1813,2023,yes,562474,Colorado Springs,310.24
15295 Bovary Ct,5,4,3632,2000,yes,686500,Colorado Springs,189.01
4328 Samaritan Loop,3,3,2066,2023,yes,475000,Colorado Springs,229.91
Hillspire Plan in Greenways at Sand Creek by Classic Homes,3,3,3272,2023,yes,600000,Colorado Springs,183.37
10546 Domeykite Vw,2,3,1161,2022,yes,434990,Colorado Springs,374.67
10672 Larimar Poin,3,3,1233,2022,yes,485335,Colorado Springs,393.62
411 Lakewood Cir #A-1004,3,2,1440,1969,no,265000,Colorado Springs,184.03
Briarwood Plan in TimberRidge by Vantage Homes,7,7,5581,2023,yes,800900,Colorado Springs,143.5
11 S  25th St #320,1,2,1110,2004,yes,545000,Colorado Springs,490.99
Calamus by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,2328,2023,no,440184,Colorado Springs,189.08
1540 York Rd,3,3,1360,2016,yes,399000,Colorado Springs,293.38
4399 Samaritan Loop,2,2,1108,2023,yes,385000,Colorado Springs,347.47
7872 Woodmen Center Hts,3,4,2237,2021,yes,449000,Colorado Springs,200.72
6045 Mach 1 Dr,6,4,2980,1977,yes,525000,Colorado Springs,176.17
4028 Ryedale Way,4,4,2792,2023,yes,541178,Colorado Springs,193.83
Halford by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1780,2023,no,359496,Colorado Springs,201.96
The Yellowstone Plan in Lorson Ranch by Tralon Homes,3,3,1819,2023,yes,472900,Colorado Springs,259.98
1422 N  Chelton Rd,3,3,1927,1965,yes,395000,Colorado Springs,204.98
4024 Samaritan Loop,3,3,1956,2023,yes,439900,Colorado Springs,224.9
237 S  Circle Dr,3,2,2088,1962,yes,395000,Colorado Springs,189.18
140 Odessa Pl,5,4,4092,1993,yes,835000,Colorado Springs,204.06
14345 Millhaven Pl,8,11,15420,2009,yes,4200000,Colorado Springs,272.37
2220 E  La Salle St   #108,4,4,1924,2021,yes,437400,Colorado Springs,227.34
5671 Sonnet Ridge Point,4,3,2630,2002,yes,479000,Colorado Springs,182.13
828 Fire Rock Pl,4,4,3331,2008,yes,535000,Colorado Springs,160.61
42 Upland Rd,4,4,2983,1965,yes,1175000,Colorado Springs,393.9
10154 Silver Leaf Way,5,4,4466,2005,yes,1050000,Colorado Springs,235.11
2449 Foerster Grass Vw,3,3,1470,2023,yes,379950,Colorado Springs,258.47
3330 Briarpatch Pl,4,4,3221,1994,yes,570000,Colorado Springs,176.96
3076 Electra Dr S,5,4,5367,1992,yes,1050000,Colorado Springs,195.64
13006 Fisheye Dr,5,5,4507,2015,yes,1150000,Colorado Springs,255.16
5309 Janga Dr,5,3,3524,2021,yes,625000,Colorado Springs,177.36
3530 E  David Ln,5,4,4566,1973,yes,695000,Colorado Springs,152.21
164 Eclipse Dr,5,4,3184,2013,yes,675000,Colorado Springs,212.0
4960 Wineskin Circle,3,2,1656,1983,yes,450000,Colorado Springs,271.74
Riverwood Plan in TimberRidge by Vantage Homes,5,6,4572,2023,yes,742000,Colorado Springs,162.29
7165 Delmonico Dr,5,3,3199,1977,yes,729000,Colorado Springs,227.88
114 S  Chelton Rd,4,2,1800,1965,yes,395000,Colorado Springs,219.44
6506 Wolf Gulch Dr,3,2,1791,2020,yes,575000,Colorado Springs,321.05
Redwood by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,2136,2023,no,393869,Colorado Springs,184.4
725 E  Las Animas St,2,1,768,1951,yes,310000,Colorado Springs,403.65
1106 Maxwell St,4,2,1530,1965,yes,410000,Colorado Springs,267.97
Whisper Elevation B Plan in Pueblo West by Westover Homes,3,2,1868,2023,no,431900,Colorado Springs,231.21
Harmony Plan in Pueblo West by Westover Homes,3,2,1631,2023,no,411900,Colorado Springs,252.54
Whisper Plan in Pueblo West by Westover Homes,3,2,1849,2023,no,417800,Colorado Springs,225.96
Juniper Plan in Pueblo West by Westover Homes,4,2,1666,2023,no,395300,Colorado Springs,237.27
6740 Apricot Ln,5,4,3395,1996,yes,637500,Colorado Springs,187.78
1909 La Bellezza Grv,3,3,4767,2004,yes,950000,Colorado Springs,199.29
220 Plan in Greenways at Sand Creek by Classic Homes,2,2,1304,2023,no,432300,Colorado Springs,331.52
1210 Parkview Blvd,3,2,1876,1956,yes,510000,Colorado Springs,271.86
6082 Sierra Grande Point,2,3,1625,2005,yes,370000,Colorado Springs,227.69
140 Mayflower St,6,5,3492,2017,yes,759500,Colorado Springs,217.5
2460 Clayton Ct,4,4,3953,1988,yes,784900,Colorado Springs,198.56
1800 Alamo Ave,4,3,3747,1953,yes,994222,Colorado Springs,265.34
1226 Florence Ave,4,2,1384,1954,yes,385000,Colorado Springs,278.18
2104 Gilpin Ave,5,5,3721,2004,yes,515000,Colorado Springs,138.4
5304 Sunshade Point,2,1,1684,2003,yes,305000,Colorado Springs,181.12
Daybreak Plan in Wolf Ranch by Classic Homes,6,4,4294,2023,no,668800,Colorado Springs,155.75
129 Norman Dr,3,1,1373,1956,yes,399000,Colorado Springs,290.6
6157 Ashmore Ln,3,3,2008,2020,yes,452000,Colorado Springs,225.1
9801 Bison Valley Trl,4,5,4284,2023,yes,899900,Colorado Springs,210.06
1647 Rockview Trl,5,3,4196,2017,yes,1200000,Colorado Springs,285.99
2 Oak Ave,4,4,2495,1995,yes,730000,Colorado Springs,292.59
9868 Bison Valley Trl,4,4,4484,2023,yes,974900,Colorado Springs,217.42
Mustang Plan in Wolf Ranch by Vantage Homes,6,5,4183,2023,yes,670300,Colorado Springs,160.24
Native Plan in Wolf Ranch by Vantage Homes,4,4,4151,2023,yes,644100,Colorado Springs,155.17
Fairhope Plan in Wolf Ranch by Vantage Homes,6,5,4284,2023,yes,667300,Colorado Springs,155.77
Carlton II Plan in Wolf Ranch by Vantage Homes,6,5,3766,2023,yes,645600,Colorado Springs,171.43
Daytona Plan in Wolf Ranch by Vantage Homes,4,3,3005,2023,yes,565300,Colorado Springs,188.12
Oakridge Plan in Wolf Ranch by Vantage Homes,6,4,4360,2023,yes,664000,Colorado Springs,152.29
900 Saturn Dr #607,1,1,728,1962,yes,189900,Colorado Springs,260.85
709 Andover St,4,2,1426,1971,yes,359000,Colorado Springs,251.75
9754 Antelope Ravine Dr,4,3,4084,2023,yes,924900,Colorado Springs,226.47
2115 Mulligan Dr,5,4,3974,1996,yes,1100000,Colorado Springs,276.8
6213 Cider Mill Pl,5,3,2848,2019,yes,509900,Colorado Springs,179.04
1215 Sunset Rd,5,2,2155,1951,no,419900,Colorado Springs,194.85
2371 Majestic Plains Ct,4,4,3120,2012,yes,515000,Colorado Springs,165.06
6525 Grey Eagle Ln,4,4,3749,1981,yes,599000,Colorado Springs,159.78
Tahoe Plan in Wolf Ranch by Vantage Homes,6,5,4286,2023,yes,665100,Colorado Springs,155.18
Seabrook Plan in Wolf Ranch by Vantage Homes,1,2,3245,2023,yes,578400,Colorado Springs,178.24
Branson Plan in Wolf Ranch by Vantage Homes,6,4,3900,2023,yes,618300,Colorado Springs,158.54
Massey Plan in Wolf Ranch by Vantage Homes,5,4,3890,2023,yes,627100,Colorado Springs,161.21
Appaloosa II Plan in Wolf Ranch by Vantage Homes,5,3,3319,2023,yes,570500,Colorado Springs,171.89
Willowwood II Plan in Wolf Ranch by Vantage Homes,5,4,4081,2023,yes,686900,Colorado Springs,168.32
Berkeley Plan in Wolf Ranch by Vantage Homes,5,4,3625,2023,yes,606800,Colorado Springs,167.39
Glenborough Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2,1,1220,2023,no,216000,Colorado Springs,177.05
Beech by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,1543,2023,no,338097,Colorado Springs,219.12
5035 Farthing Dr,5,4,3822,1987,yes,749000,Colorado Springs,195.97
Biloxi Plan in Wolf Ranch by Vantage Homes,5,5,3789,2023,yes,652800,Colorado Springs,172.29
1107 Applewood Dr,3,2,1543,1973,yes,449000,Colorado Springs,290.99
1933 Hallam Ave,3,1,1606,1956,no,365000,Colorado Springs,227.27
935 Saturn Drive  Unit 125,2,2,1012,1975,yes,199000,Colorado Springs,196.64
1803 Spring Water Poin,3,3,1773,2019,yes,484900,Colorado Springs,273.49
Silver Oak by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3,2,2255,2023,no,390181,Colorado Springs,173.03
1765 Carmel Drive,4,2,1237,1970,yes,420000,Colorado Springs,339.53
5036 Construct Poin,3,3,1475,2023,yes,434950,Colorado Springs,294.88
6009 Yallaly River Trl,3,3,3018,2023,yes,640690,Colorado Springs,212.29
